idx	char	level	meanings	on_yomi	fanout
1	一	N5	One; One Radical (no.1)	いち/いつ	
2	人	N5	Person	じん/にん	
3	大	N5	Large; Big	だい/たい	
4	十	N5	Ten	じゅう/じっ/じゅっ	
5	二	N5	Two; Two Radical (no. 7)	に/じ	
6	中	N5	In; Inside; Middle; Mean	ちゅう	
7	三	N5	Three	さん/ぞう	
8	月	N5	Month; Moon	げつ/がつ	
9	民	N3	People; Nation; Subjects	みん	
10	今	N5	Now	こん/きん	
11	回	N3	-times; Round; Game; Revolve	かい/え	
12	金	N5	Gold	きん/こん/ごん	
13	九	N5	Nine	きゅう/く	
14	入	N5	Enter; Insert	にゅう/じゅ	
15	力	N4	Power; Strength; Strong; Strain	りょく/りき/りい	
16	五	N5	Five	ご	
17	子	N5	Child; Sign Of The Rat; 11pm-1am; First Sign Of Chinese Zodiac	し/す/つ	
18	目	N4	Eye; Class; Look; Insight	もく/ぼく	
19	自	N4	Oneself	じ/し	
20	八	N5	Eight; Eight Radical (no. 12)	はち	
21	小	N5	Little; Small	しょう	
22	七	N5	Seven	しち	
23	協	N2	Co-; Cooperation	きょう	
24	山	N5	Mountain	さん/せん	
25	出	N5	Exit; Leave; Go Out; Come Out	しゅつ/すい	
26	県	N2	Prefecture	けん	
27	記	N3	Scribe; Account; Narrative	き	
28	女	N5	Woman; Female	じょ/にょ/にょう	
29	心	N4	Heart; Mind; Spirit; Heart Radical (no. 61)	しん	
30	先	N5	Before; Ahead; Previous; Future	せん	
31	交	N3	Mingle; Mixing; Association; Coming & Going	こう	
32	川	N5	Stream; River; River Or Three-stroke River Radical (no. 47)	せん	
33	向	N3	Yonder; Facing; Beyond; Confront	こう	
34	告	N3	Revelation; Tell; Inform; Announce	こく	
35	千	N5	Thousand	せん	
36	別	N4	Separate; Branch Off; Diverge; Fork	べつ	
37	水	N5	Water	すい	
38	示	N3	Show; Indicate; Point Out; Express	じ/し	
39	直	N3	Straightaway; Honesty; Frankness; Fix	ちょく/じき/じか	
40	必	N3	Invariably; Certain; Inevitable	ひつ	
41	再	N2	Again; Twice; Second Time	さい/さ	
42	口	N4	Mouth	こう/く	
43	日	N5	Day; Sun; Japan; Counter For Days	にち/じつ	
44	明	N4	Bright; Light	めい/みょう/みん	
45	加	N3	Add; Addition; Increase; Join	か	
46	品	N4	Goods; Refinement; Dignity; Article	ひん/ほん	
47	少	N4	Few; Little	しょう	
48	土	N5	Soil; Earth; Ground; Turkey	ど/と	
49	木	N5	Tree; Wood	ぼく/もく	
50	本	N5	Book; Present; Main; Origin	ほん	
51	東	N5	East	とう	
52	相	N3	Inter-; Mutual; Together; Each Other	そう/しょう	
53	校	N5	Exam; School; Printing; Proof	こう/きょう	
54	由	N3	Wherefore; A Reason	ゆ/ゆう/ゆい	
55	食	N5	Eat; Food	しょく/じき	
56	車	N5	Car	しゃ	
57	夫	N3	Husband; Man	ふ/ふう/ぶ	
58	万	N5	Ten Thousand; 10,000	まん/ばん	
59	乗	N3	Ride; Power; Multiplication; Record	じょう/しょう	
60	想	N3	Concept; Think; Idea; Thought	そう/そ	
61	州	N2	State; Province	しゅう/す	
62	声	N3	Voice	せい/しょう	
63	念	N3	Wish; Sense; Idea; Thought	ねん	
64	象	N2	Elephant; Pattern After; Imitate; Image	しょう/ぞう	
65	域	N2	Range; Region; Limits; Stage	いき	
66	早	N4	Early; Fast	そう/さっ	
67	好	N3	Fond; Pleasing; Like Something	こう	
68	毎	N5	Every	まい	
69	失	N3	Lose; Error; Fault; Disadvantage	しつ	
70	門	N2	Gate; Counter For Cannons	もん	
71	間	N5	Interval; Space	かん/けん	
72	問	N4	Question; Ask; Problem	もん	
73	末	N3	End; Close; Tip; Powder	まつ/ばつ	
74	含	N2	Contain; Include; Hold In The Mouth; Bear In Mind	がん	
75	非	N3	Un-; Mistake; Negative; Injustice	ひ	
76	型	N2	Mould; Type; Model	けい	
77	白	N5	White	はく/びゃく	
78	百	N5	Hundred	ひゃく/びゃく	
79	島	N2	Island	とう	
80	申	N3	Have The Honor To; Sign Of The Monkey; 3-5pm; Ninth Sign Of Chinese Zodiac	しん	
81	呼	N3	Call; Call Out To; Invite	こ	
82	針	N2	Needle; Pin; Staple; Stinger	しん	
83	谷	N2	Valley	こく	
84	古	N4	Old	こ	
85	天	N5	Heavens; Sky; Imperial	てん	
86	兵	N2	Soldier; Private; Troops; Army	へい/ひょう	
87	悪	N4	Bad; Vice; Rascal; False	あく/お	
88	効	N2	Merit; Efficacy; Efficiency; Benefit	こう	
89	丸	N2	Round; Full (month); Perfection; -ship	がん	
90	省	N2	Focus; Government Ministry; Conserve	せい/しょう	
91	旧	N2	Old Times; Old Things; Old Friend; Former	きゅう	
92	太	N3	Plump; Thick; Big Around	たい/た	
93	周	N2	Circumference; Circuit; Lap	しゅう	
94	母	N5	Mother	ぼ	
95	火	N5	Fire	か	
96	戸	N2	Door; Counter For Houses; Door Radical (no. 63)	こ	
97	飛	N3	Fly; Skip (pages); Scatter	ひ	
98	赤	N4	Red	せき/しゃく	
99	竹	N2	Bamboo	ちく	
100	並	N2	Row; And; Besides; As Well As	へい/ほう	
101	森	N2	Forest; Woods	しん	
102	具	N3	Tool; Utensil; Means; Possess	ぐ	
103	真	N4	True; Reality; Buddhist Sect	しん	
104	馬	N3	Horse	ば	
105	未	N3	Un-; Not Yet; Hitherto; Still	み/び	
106	味	N4	Flavor; Taste	み	
107	舞	N3	Dance; Flit; Circle; Wheel	ぶ	
108	林	N2	Grove; Forest	りん	
109	鉄	N2	Iron	てつ	
110	込	N3	Crowded; Mixture; In Bulk; Included		
111	余	N3	Too Much; Myself; Surplus; Other	よ	
112	禁	N2	Prohibition; Ban; Forbid	きん	
113	印	N2	Stamp; Seal; Mark; Imprint	いん	
114	王	N3	King; Rule; Magnate	おう/-のう	
115	全	N3	Whole; Entire; All; Complete	ぜん	
116	主	N4	Lord; Chief; Master; Main Thing	しゅ/す/しゅう	
117	久	N2	Long Time; Old Story	きゅう/く	
118	植	N2	Plant	しょく	
119	玉	N2	Jewel; Ball	ぎょく	
120	羽	N2	Feathers; Counter For Birds, Rabbits	う	
121	習	N4	Learn	しゅう/じゅ	
122	普	N2	Universal; Wide(ly); Generally; Prussia	ふ	
123	了	N2	Complete; Finish	りょう	
124	極	N2	Poles; Settlement; Conclusion; End	きょく/ごく	
125	患	N2	Afflicted; Disease; Suffer From; Be Ill	かん	
126	曲	N3	Bend; Music; Melody; Composition	きょく	
127	永	N2	Eternity; Long; Lengthy	えい	
128	息	N3	Breath; Respiration; Son; Interest (on Money)	そく	
129	互	N3	Mutually; Reciprocally; Together	ご	
130	束	N3	Bundle; Sheaf; Ream; Tie In Bundles	そく	
131	札	N2	Tag; Paper Money; Counter For Bonds; Placard	さつ	
132	夕	N4	Evening	せき	
133	多	N4	Many; Frequent; Much	た	
134	名	N5	Name; Noted; Distinguished; Reputation	めい/みょう	
135	骨	N2	Skeleton; Bone; Remains; Frame	こつ	
136	雨	N5	Rain	う	
137	電	N5	Electricity	でん	
138	包	N2	Wrap; Pack Up; Cover; Conceal	ほう	
139	駐	N2	Stop-over; Reside In; Resident	ちゅう	
140	悲	N3	Grieve; Sad; Deplore; Regret	ひ	
141	吸	N3	Suck; Imbibe; Inhale; Sip	きゅう	
142	片	N2	One-sided; Leaf; Sheet; Right-side Kata Radical (no. 91)	へん	
143	泉	N2	Spring; Fountain	せん	
144	柱	N2	Pillar; Post; Cylinder; Support	ちゅう	
145	毛	N2	Fur; Hair; Feather; Down	もう	
146	牛	N4	Cow	ぎゅう	
147	衣	N2	Garment; Clothes; Dressing	い/え	
148	装	N2	Attire; Dress; Pretend; Disguise	そう/しょう	
149	冊	N2	Tome; Counter For Books; Volume	さつ/さく	
150	眠	N3	Sleep; Die; Sleepy	みん	
151	犬	N4	Dog	けん	
152	耳	N3	Ear	じ	
153	聞	N5	Hear; Ask; Listen	ぶん/もん	
154	卵	N2	Egg; Ovum; Spawn; Roe	らん	
155	喫	N2	Consume; Eat; Drink; Smoke	きつ	
156	干	N2	Dry; Parch; Ebb; Recede	かん	
157	午	N5	Noon; Sign Of The Horse; 11am-1pm; Seventh Sign Of Chinese Zodiac	ご	
158	虫	N2	Insect; Bug; Temper	ちゅう/き	
159	軒	N2	Flats; Counter For Houses; Eaves	けん	
160	妹	N4	Younger Sister	まい	
161	氷	N2	Icicle; Ice; Hail; Freeze	ひょう	
162	缶	N2	Tin Can; Container; Jar Radical (no. 121)	かん	
163	恥	N3	Shame; Dishonor	ち	
164	鼻	N2	Nose; Snout	び	
165	枯	N2	Wither; Die; Dry Up; Be Seasoned	こ	
166	舟	N2	Boat; Ship	しゅう	
167	貝	N2	Shellfish	ばい	
168	員	N4	Employee; Member; Number; The One In Charge	いん	
169	皿	N2	Dish; A Helping; Plate	べい	
170	血	N2	Blood	けつ	
171	燥	N2	Parch; Dry Up	そう	
172	囗	COMP	Box; Box Or Enclosure Radical (no. 31)	い/こく	15
173	国	N5	Country	こく	
174	因	N3	Cause; Factor; Be Associated With; Depend On	いん	
175	固	N2	Harden; Set; Clot; Curdle	こ	
176	困	N3	Quandary; Become Distressed; Annoyed	こん	
177	⺺	COMP	(bound component)		6
178	事	N4	Matter; Thing; Fact; Business	じ/ず	
179	妻	N3	Wife; Spouse	さい	
180	儿	COMP	Legs Radical (no. 10)	じん/にん	38
181	見	N5	See; Hopes; Chances; Idea	けん	
182	四	N5	Four	し	
183	現	N3	Present; Existing; Actual	げん	
184	元	N4	Beginning; Former Time; Origin	げん/がん	
185	規	N3	Standard; Measure	き	
186	児	N2	Newborn Babe; Child; Young Of Animals	じ/に/げい	
187	兄	N4	Elder Brother; Big Brother	けい/きょう	
188	龶	COMP	(bound component)		17
189	生	N5	Life; Genuine; Birth	せい/しょう	
190	青	N4	Blue; Green	せい/しょう	
191	責	N3	Blame; Condemn; Censure	せき	
192	星	N2	Star; Spot; Dot; Mark	せい/しょう	
193	晴	N3	Clear Up	せい	
194	毒	N2	Poison; Virus; Venom; Germ	どく	
195	姓	N2	Surname	せい/しょう	
196	辶	COMP	Walk; Walking; Road Radical Variant (no. 162)	ちゃく	29
197	連	N3	Take Along; Lead; Join; Connect	れん	
198	過	N3	Overdo; Exceed; Go Beyond; Error	か	
199	造	N2	Create; Make; Structure; Physique	ぞう	
200	週	N4	Week	しゅう	
201	速	N3	Quick; Fast	そく	
202	迎	N3	Welcome; Meet; Greet	げい	
203	途	N3	Route; Way; Road	と	
204	⺊	COMP	(bound component)		27
205	上	N5	Above; Up	じょう/しょう/しゃん	
206	占	N2	Fortune-telling; Divining; Forecasting; Occupy	せん	
207	⺹	COMP	(bound component)		9
208	者	N4	Someone; Person	しゃ	
209	龸	COMP	(bound component)		4
210	党	N2	Party; Faction; Clique	とう	
211	賞	N2	Prize; Reward; Praise	しょう	
212	堂	N4	Public Chamber; Hall	どう	
213	也	N1	To Be (classical)	や/え	3
214	地	N4	Ground; Earth	ち/じ	
215	亼	COMP	To Assemble. To Gather Together	しゅう/じゅう	11
216	合	N3	Fit; Suit; Join; 0.1	ごう/がっ/かっ	
217	⺆	COMP	(bound component)		59
218	内	N3	Inside; Within; Between; Among	ない/だい	
219	田	N4	Rice Field; Rice Paddy	でん	
220	用	N4	Utilize; Business; Service; Use	よう	
221	思	N4	Think	し	
222	男	N5	Male	だん/なん	
