# 文化審議会国語分科会「「異字同訓」の漢字の使い分け例（報告）」2014-02-21
# https://www.bunka.go.jp/seisaku/bunkashingikai/kokugo/hokoku/pdf/ijidokun_140221.pdf
# Kanji that share a kun reading, one group per line: reading<TAB>kanji. Transcribed from the PDF.
あう	会,合,遭
あからむ	赤,明
あがる・あげる	上,揚,挙
あく・あける	明,空,開
あし	足,脚
あたい	値,価
あたたかい・あたたかだ・あたたまる・あたためる	温,暖
あつい	熱,暑
あてる	当,充,宛
あと	後,跡,痕
あぶら	油,脂
あやしい	怪,妖
あやまる	誤,謝
あらい	荒,粗
あらわす・あらわれる	表,現,著
ある	有,在
あわせる	合,併
いく・ゆく	行,逝
いたむ・いためる	痛,傷,悼
いる	入,要
うける	受,請
うた	歌,唄
うたう	歌,謡
うつ	打,討,撃
うつす・うつる	写,映
うまれる・うむ	生,産
うれい・うれえる	憂,愁
おかす	犯,侵,冒
おくる	送,贈
おくれる	遅,後
おこす・おこる	起,興
おさえる	押,抑
おさまる・おさめる	収,納,治,修
おす	押,推
おそれ・おそれる	恐,畏,虞
おどる	踊,躍
おもて	表,面
おりる・おろす	降,下,卸
かえす・かえる	返,帰
かえりみる	顧,省
かえる・かわる	変,換,替,代
かおり・かおる	香,薫
かかる・かける	掛,懸,架,係,賭
かく	書,描
かげ	陰,影
かた	形,型
かたい	堅,固,硬
かま	釜,窯
かわ	皮,革
かわく	乾,渇
きく	聞,聴
きく	利,効
きる	切,斬
きわまる・きわめる	窮,極,究
こう	請,乞
こえる・こす	越,超
こたえる	答,応
こむ	混,込
さがす	探,捜
さく	裂,割
さげる	下,提
さす	差,指,刺,挿
さます・さめる	覚,冷
さわる	触,障
しずまる・しずめる	静,鎮,沈
しぼる	絞,搾
しまる・しめる	締,絞,閉
すすめる	進,勧,薦
する	刷,擦
すわる	座,据
せめる	攻,責
そう	沿,添
そなえる	備,供
たえる	耐,堪
たずねる	尋,訪
たたかう	戦,闘
たつ	断,絶,裁
たつ・たてる	立,建
たっとい・たっとぶ・とうとい・とうとぶ	尊,貴
たま	玉,球,弾
つかう	使,遣
つく・つける	付,着,就
つぐ	次,継,接
つくる	作,造,創
つつしむ	慎,謹
つとまる・つとめる	勤,務,努
とかす・とく・とける	解,溶
ととのう・ととのえる	整,調
とぶ	飛,跳
とまる・とめる	止,留,泊
とらえる	捕,捉
とる	取,採,執,捕,撮
ない	無,亡
なおす・なおる	直,治
なか	中,仲
ながい	長,永
ならう	習,倣
におい・におう	匂,臭
のせる・のる	乗,載
のぞむ	望,臨
のばす・のびる・のべる	伸,延
のぼる	上,登,昇
はえ・はえる	映,栄
はかる	図,計,測,量,謀,諮
はじまる・はじめ・はじめて・はじめる	初,始
はな	花,華
はなす・はなれる	離,放
はやい・はやまる・はやめる	早,速
はる	張,貼
ひく	引,弾
ふえる・ふやす	増,殖
ふく	吹,噴
ふける	更,老
ふね	船,舟
ふるう	振,震,奮
ほか	外,他
まざる・まじる・まぜる	交,混
まち	町,街
まるい	丸,円
まわり	回,周
みる	見,診
もと	下,元,本,基
や	屋,家
やさしい	優,易
やぶれる	破,敗
やわらかい・やわらかだ	柔,軟
よ	世,代
よい	良,善
よむ	読,詠
わかれる	分,別
わく	沸,湧
わざ	技,業
わずらう	煩,患
